sigma instument: 0.900000; template number: 200; mask region: 0; degree: 4; velocity dispersion: 231 km/s; chi^2: 1.645899;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 5; velocity dispersion: 237 km/s; chi^2: 1.539252;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 6; velocity dispersion: 221 km/s; chi^2: 1.471076;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 7; velocity dispersion: 217 km/s; chi^2: 1.431762;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 8; velocity dispersion: 215 km/s; chi^2: 1.412854;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 9; velocity dispersion: 222 km/s; chi^2: 1.333619;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 10; velocity dispersion: 224 km/s; chi^2: 1.236298;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 11; velocity dispersion: 222 km/s; chi^2: 1.171784;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 12; velocity dispersion: 224 km/s; chi^2: 1.164124;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 13; velocity dispersion: 222 km/s; chi^2: 1.161679;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 14; velocity dispersion: 218 km/s; chi^2: 1.099788;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 15; velocity dispersion: 218 km/s; chi^2: 1.098535;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 16; velocity dispersion: 214 km/s; chi^2: 1.053715;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 17; velocity dispersion: 215 km/s; chi^2: 1.044131;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 18; velocity dispersion: 218 km/s; chi^2: 1.014632;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 19; velocity dispersion: 218 km/s; chi^2: 0.981410;
sigma instument: 0.900000; template number: 200; mask region: 0; degree: 20; velocity dispersion: 218 km/s; chi^2: 0.976545;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 4; velocity dispersion: 235 km/s; chi^2: 1.342058;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 5; velocity dispersion: 220 km/s; chi^2: 1.245990;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 6; velocity dispersion: 218 km/s; chi^2: 1.154272;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 7; velocity dispersion: 223 km/s; chi^2: 1.126641;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 8; velocity dispersion: 224 km/s; chi^2: 1.124870;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 9; velocity dispersion: 229 km/s; chi^2: 1.076060;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 10; velocity dispersion: 229 km/s; chi^2: 1.071099;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 11; velocity dispersion: 231 km/s; chi^2: 1.020249;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 12; velocity dispersion: 224 km/s; chi^2: 0.940827;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 13; velocity dispersion: 223 km/s; chi^2: 0.939943;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 14; velocity dispersion: 224 km/s; chi^2: 0.906675;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 15; velocity dispersion: 225 km/s; chi^2: 0.898719;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 16; velocity dispersion: 225 km/s; chi^2: 0.896599;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 17; velocity dispersion: 225 km/s; chi^2: 0.896392;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 18; velocity dispersion: 224 km/s; chi^2: 0.895963;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 19; velocity dispersion: 226 km/s; chi^2: 0.893504;
sigma instument: 0.900000; template number: 200; mask region: 1; degree: 20; velocity dispersion: 227 km/s; chi^2: 0.891760;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 4; velocity dispersion: 229 km/s; chi^2: 1.642703;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 5; velocity dispersion: 234 km/s; chi^2: 1.535890;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 6; velocity dispersion: 218 km/s; chi^2: 1.463410;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 7; velocity dispersion: 217 km/s; chi^2: 1.425713;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 8; velocity dispersion: 214 km/s; chi^2: 1.397337;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 9; velocity dispersion: 219 km/s; chi^2: 1.304170;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 10; velocity dispersion: 220 km/s; chi^2: 1.224279;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 11; velocity dispersion: 220 km/s; chi^2: 1.166490;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 12; velocity dispersion: 220 km/s; chi^2: 1.161570;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 13; velocity dispersion: 220 km/s; chi^2: 1.154694;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 14; velocity dispersion: 218 km/s; chi^2: 1.098161;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 15; velocity dispersion: 218 km/s; chi^2: 1.097556;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 16; velocity dispersion: 215 km/s; chi^2: 1.050947;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 17; velocity dispersion: 216 km/s; chi^2: 1.042020;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 18; velocity dispersion: 219 km/s; chi^2: 1.012743;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 19; velocity dispersion: 219 km/s; chi^2: 0.979800;
sigma instument: 0.900000; template number: 250; mask region: 0; degree: 20; velocity dispersion: 220 km/s; chi^2: 0.973886;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 4; velocity dispersion: 231 km/s; chi^2: 1.330005;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 5; velocity dispersion: 215 km/s; chi^2: 1.218102;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 6; velocity dispersion: 214 km/s; chi^2: 1.132366;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 7; velocity dispersion: 218 km/s; chi^2: 1.114360;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 8; velocity dispersion: 220 km/s; chi^2: 1.112108;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 9; velocity dispersion: 229 km/s; chi^2: 1.075501;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 10; velocity dispersion: 228 km/s; chi^2: 1.070584;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 11; velocity dispersion: 225 km/s; chi^2: 1.006217;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 12; velocity dispersion: 224 km/s; chi^2: 0.935074;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 13; velocity dispersion: 224 km/s; chi^2: 0.934105;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 14; velocity dispersion: 225 km/s; chi^2: 0.904077;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 15; velocity dispersion: 225 km/s; chi^2: 0.895194;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 16; velocity dispersion: 225 km/s; chi^2: 0.893841;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 17; velocity dispersion: 225 km/s; chi^2: 0.893532;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 18; velocity dispersion: 224 km/s; chi^2: 0.892834;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 19; velocity dispersion: 226 km/s; chi^2: 0.891807;
sigma instument: 0.900000; template number: 250; mask region: 1; degree: 20; velocity dispersion: 227 km/s; chi^2: 0.888905;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 4; velocity dispersion: 230 km/s; chi^2: 1.641019;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 5; velocity dispersion: 242 km/s; chi^2: 1.531965;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 6; velocity dispersion: 219 km/s; chi^2: 1.462001;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 7; velocity dispersion: 217 km/s; chi^2: 1.424322;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 8; velocity dispersion: 215 km/s; chi^2: 1.395162;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 9; velocity dispersion: 219 km/s; chi^2: 1.304145;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 10; velocity dispersion: 220 km/s; chi^2: 1.224232;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 11; velocity dispersion: 220 km/s; chi^2: 1.166453;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 12; velocity dispersion: 220 km/s; chi^2: 1.161551;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 13; velocity dispersion: 220 km/s; chi^2: 1.154639;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 14; velocity dispersion: 218 km/s; chi^2: 1.096676;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 15; velocity dispersion: 218 km/s; chi^2: 1.096123;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 16; velocity dispersion: 216 km/s; chi^2: 1.049538;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 17; velocity dispersion: 217 km/s; chi^2: 1.039235;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 18; velocity dispersion: 219 km/s; chi^2: 1.009154;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 19; velocity dispersion: 219 km/s; chi^2: 0.979770;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 20; velocity dispersion: 220 km/s; chi^2: 0.973678;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 4; velocity dispersion: 232 km/s; chi^2: 1.329444;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 5; velocity dispersion: 215 km/s; chi^2: 1.218102;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 6; velocity dispersion: 214 km/s; chi^2: 1.132210;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 7; velocity dispersion: 218 km/s; chi^2: 1.114012;
